UID,Last Name,First Name,Middle Name,Street Address,City,State,Zip
100000,Richard,Katherine,Robert,764 Howard Forge Apt. 421,Augusta,GA,31267
100390,Lloyd,Vanessa,Amanda,1157 Michael Island,Augusta,GA,31252
100524,Bowman,James,Angela,408 Christopher Ville Suite 097,Augusta,GA,31696
100996,Dillon,John,Mark,93328 Davis Island,Augusta,GA,31793
100997,Romero,Sarah,Daniel,185 Tamara Rapids Suite 719,Augusta,GA,31635
101070,Cruz,Barbara,Kelly,09471 Erika Curve,Augusta,GA,31796
101071,Hernandez,Benjamin,Christopher,848 Melissa Springs Suite 947,Augusta,GA,31009
101072,Keller,Wendy,Sabrina,59179 Bruce Gardens Apt. 413,Augusta,GA,30762
101073,Norton,Marvin,Lisa,30989 Anthony Roads,Augusta,GA,30387
101074,Obrien,Barbara,Peter,09032 Timothy Stream Apt. 086,Augusta,GA,31271
101298,Garcia,Jordan,Jeffrey,6208 Williams Courts Suite 345,Augusta,GA,31853
101794,Dennis,Mary,Samantha,302 Matthew Glen,Augusta,GA,30241
102239,Carlson,Scott,Gregory,698 Banks Loaf Suite 280,Augusta,GA,30938
102240,Harmon,Matthew,Brandon,37594 Garza Roads Apt. 466,Augusta,GA,31698
102610,Curtis,Aaron,James,33769 Johnson Well Suite 027,Augusta,GA,30131
102925,Green,Eric,Allison,900 Nguyen Villages Suite 063,Augusta,GA,31124
103051,Key,Cynthia,Christopher,66503 Jennifer Alley,Augusta,GA,31685
103052,Lowe,Cheryl,James,4217 Burton Brooks,Augusta,GA,30563
103053,Sloan,Lauren,Darrell,85124 Bobby Ford Suite 855,Augusta,GA,31922
103054,Bradley,Melissa,Meghan,765 Jared Radial Suite 022,Augusta,GA,30556
103219,Cook,Kristine,Jennifer,004 Edward Prairie Suite 568,Augusta,GA,30266
103375,Carter,Timothy,John,2814 Houston Hills,Augusta,GA,30850
103657,Rodriguez,Ann,Timothy,1717 Johnson Isle Apt. 296,Augusta,GA,31651
103763,Villegas,Danielle,Cameron,30601 Hawkins Highway,Augusta,GA,30919
103811,Mora,Kristina,Jennifer,1534 Ryan Knolls,Augusta,GA,30236
103812,Brown,Michelle,Jacqueline,317 Scott Row Apt. 392,Augusta,GA,30215
103813,Gonzalez,Nicholas,Amy,97296 Rich Park,Augusta,GA,31392
103831,Stark,Marcus,Vernon,389 Alec Squares Suite 508,Augusta,GA,30304
103832,Baxter,Carrie,Eric,471 Zachary Canyon Apt. 320,Augusta,GA,30616
103833,Smith,Megan,Mark,75868 Audrey Springs,Augusta,GA,31627
103834,Trujillo,Katherine,Vicki,48967 Lawson Fort Apt. 024,Augusta,GA,31039
104185,Hudson,Marvin,Trevor,6660 Danielle Crossroad Apt. 450,Augusta,GA,31929
104186,Johnson,Robert,Travis,256 Cheryl Lights,Augusta,GA,30940
104646,Williams,Thomas,Edward,925 Isabel Run,Augusta,GA,30710
104788,Lee,Krista,Kimberly,97951 Kramer Crossroad,Augusta,GA,31963
105128,Buck,Lauren,Sabrina,306 Watson Field,Augusta,GA,30933
105129,Kelly,Crystal,Sue,4089 Jerry Trail,Augusta,GA,31679
105431,Wilkerson,Courtney,Wayne,412 Snow Manors Apt. 161,Augusta,GA,30204
105432,Perry,Eric,Stephanie,6075 Miller Cliffs Apt. 505,Augusta,GA,30713
105433,Thompson,Maria,Jerry,92303 Julie Hill Suite 093,Augusta,GA,31760
105434,Thomas,Shawn,Thomas,03557 Phillips Wells Suite 291,Augusta,GA,30211
105435,Ferguson,Kyle,Nicholas,35833 Kelly Manor,Augusta,GA,31359
105436,Williams,David,Andrew,126 Pierce Streets,Augusta,GA,31898
105437,Thomas,Robert,Dana,75806 Smith Stream,Augusta,GA,31846
105438,Flores,James,Kelly,21418 Laura Mission Suite 266,Augusta,GA,30358
105501,Wright,Shawn,Sharon,7173 Smith Square,Augusta,GA,30920
105502,Montgomery,Alan,Kenneth,926 Davis Parks Apt. 864,Augusta,GA,31295
105503,Riggs,David,Nicole,46896 Garcia Glen,Augusta,GA,30725
105504,Campbell,Karina,Regina,14485 Alyssa Gateway,Augusta,GA,31825
105505,Mora,Frank,Robert,8298 Amanda Loop Suite 447,Augusta,GA,30762
105506,Carroll,Devin,David,6972 Gomez Mountains,Augusta,GA,31521
105507,Perry,Thomas,Heather,0742 Williams Road Apt. 057,Augusta,GA,30801
105508,Oneal,Alejandro,Alison,160 Williams River,Augusta,GA,30008
105841,Key,Morgan,Holly,94316 Moran Lights,Augusta,GA,30345
105842,Rivera,Deborah,Grace,2852 Renee Mills,Augusta,GA,30716
106101,Clarke,Paul,Lindsay,337 Brenda Causeway Suite 031,Augusta,GA,31784
106102,Lopez,Brian,Danielle,94918 Wise Knoll,Augusta,GA,30843
106206,Ellis,Crystal,Zachary,774 Lewis Grove Apt. 002,Augusta,GA,30717
106671,Smith,Diamond,Donald,396 Shawn Junction Apt. 915,Augusta,GA,30662
106672,Herrera,Patricia,Jonathan,51385 Mary Glen,Augusta,GA,31378
106673,Daniel,Kevin,Zachary,7530 Villa Cliffs Apt. 777,Augusta,GA,30098
106850,Stark,Robert,Tristan,11312 Henson Forest Suite 916,Augusta,GA,31145
107157,Fischer,Maria,Benjamin,73245 Vang Coves,Augusta,GA,31141
107165,Lam,Chelsea,Kristina,8978 Nelson Brook Apt. 912,Augusta,GA,31501
107627,Perry,Jeffery,Nichole,886 David Rue,Augusta,GA,30559
107827,Wilson,Jo,Michael,31845 Nathaniel Neck Suite 922,Augusta,GA,31659
107828,Smith,William,Michael,62281 Kathy Tunnel,Augusta,GA,31875
107829,Hampton,Ashley,Heather,23659 Cristina Coves,Augusta,GA,31262
107830,Flowers,Alicia,Michael,0382 Lamb Street Suite 851,Augusta,GA,30531
107831,Taylor,Richard,James,6030 Barber Gateway Suite 734,Augusta,GA,30705
108223,Powers,Kevin,Michael,250 Burton Burg,Augusta,GA,30495
108537,Williams,Jeremiah,Desiree,56237 Thomas Inlet,Augusta,GA,30363
108538,Banks,Jessica,Kristen,0648 Malone Port Apt. 662,Augusta,GA,30007
108738,Mason,Christy,Ebony,53230 Julia Villages,Augusta,GA,31401
108739,Hoffman,Jennifer,Ronald,729 Johnny Valley,Augusta,GA,31512
108740,Oconnor,Anthony,Sarah,1542 Young Knolls,Augusta,GA,30333
109068,Moss,Richard,Joseph,0484 Madden Trail Suite 076,Augusta,GA,31478
109433,Wilson,Michael,Brett,049 Cooley Track Apt. 885,Augusta,GA,30791
109640,Good,Teresa,Jason,98522 Mathis Viaduct Apt. 909,Augusta,GA,30320
109726,Farley,Michael,Connie,6962 Kristina Port Apt. 725,Augusta,GA,31904
109727,Smith,Jennifer,Renee,931 Ramirez Village Apt. 821,Augusta,GA,31350
109999,Fowler,Bethany,Shelly,4440 Osborne Viaduct Suite 488,Augusta,GA,31136
110000,Stewart,Matthew,Janice,08296 Marshall Camp Suite 930,Augusta,GA,30742
110255,Rice,Shelly,Erin,703 Joshua Trace Suite 197,Augusta,GA,30485
110685,Manning,Shannon,William,27166 King Throughway,Augusta,GA,31585
111101,Kelly,Mark,Kurt,43666 Terry View Apt. 975,Augusta,GA,31700
111102,Carroll,Anne,Joshua,7820 Ashlee Key,Augusta,GA,30740
111111,Smith,James,Daniel,50562 Russell Divide Apt. 648,Augusta,GA,30123
111112,Martin,Patricia,Renee,808 Herring Key,Augusta,GA,31639
111113,Willis,Christopher,Anita,45448 Lutz Drives Suite 820,Augusta,GA,31296
111114,Richards,Darlene,Arthur,37937 Jenna Shoal Apt. 780,Augusta,GA,31113
111115,Miller,Zachary,Aaron,69597 Bass Passage,Augusta,GA,30742
111116,Archer,Michelle,David,22059 Bradley Rue Apt. 460,Augusta,GA,31230
111361,Saunders,Jennifer,Michael,0759 Chambers Port,Augusta,GA,31739
111374,Lara,Robert,Anthony,61511 Michael Fall Suite 905,Augusta,GA,30935
111375,Gibbs,Julie,Heather,08640 Mary Common Suite 517,Augusta,GA,31983
111445,Johnson,Regina,Connie,06528 Ethan Tunnel Apt. 395,Augusta,GA,31937
111446,Johnson,Susan,Connie,33452 Michael Estates Suite 759,Augusta,GA,30283
111447,Hughes,Kelli,Fernando,622 Anthony Islands,Augusta,GA,31045
111448,Smith,Brandon,Sara,60669 Dawson Dam,Augusta,GA,30746
111735,Dixon,Amanda,Charles,516 Sanchez Light Apt. 637,Augusta,GA,30814
111736,Knapp,Cesar,Johnny,580 Mcdowell Harbor Apt. 956,Augusta,GA,31975
112102,Garrett,Amanda,Melissa,606 Hamilton Cove,Augusta,GA,31461
112103,Murray,Steven,Gene,2948 Sarah Key Apt. 578,Augusta,GA,31544
112297,Brown,Natalie,Jonathan,6048 Johnson Loop Suite 635,Augusta,GA,30275
112298,Anderson,Christie,Gabriel,671 Kimberly Plains Apt. 223,Augusta,GA,30337
112470,Perez,Alicia,Lori,451 Ayala Greens Apt. 585,Augusta,GA,31092
112471,Neal,Rhonda,Tracey,65678 Oconnell Lodge Apt. 220,Augusta,GA,31195
112472,Larson,Janet,Selena,399 Joseph Street,Augusta,GA,31259
112473,Jackson,Christopher,Barry,7517 Silva Glen,Augusta,GA,31366
112773,Tucker,Kimberly,Sandra,202 Franklin Fords,Augusta,GA,30898
112774,Erickson,Richard,Andrew,2790 Noble Corners,Augusta,GA,31320
112834,Chapman,Matthew,William,79148 Pierce Lock Suite 423,Augusta,GA,31108
112835,Diaz,Kevin,Chelsea,1176 Hawkins Greens,Augusta,GA,30988
112836,Hall,Daniel,Donald,02983 Antonio Lodge,Augusta,GA,31144
113044,Lyons,Carolyn,Jennifer,8551 John Parks,Augusta,GA,31718
113045,Joyce,Joshua,Albert,511 Berry Fork Suite 623,Augusta,GA,30590
113334,Boyle,Julia,Timothy,6921 Kelly Ways Suite 355,Augusta,GA,30885
113508,Ramirez,Teresa,Katrina,74172 Cantu Summit Apt. 573,Augusta,GA,30226
113509,Becker,Theresa,Steven,936 Tucker Island Apt. 175,Augusta,GA,30808
113510,Macdonald,Jeremy,Tammy,061 Gonzalez Islands,Augusta,GA,30366
113511,Wilson,Laura,Michael,06802 Lorraine Rest,Augusta,GA,31915
113833,Gaines,Christopher,Steven,961 Sara Forks,Augusta,GA,31902
113834,Perry,Thomas,Aaron,0940 Padilla Views,Augusta,GA,30691
113835,Byrd,Danielle,Caitlin,1140 Christine Shoals,Augusta,GA,30279
113836,Gray,Ashley,Donna,8818 Heather Mountains,Augusta,GA,30256
114039,Hicks,Seth,Guy,64619 Wilkins Wall Apt. 735,Augusta,GA,30985
114512,Rowe,Robert,Sergio,673 Allen Neck,Augusta,GA,30973
114513,Thomas,Scott,Michael,281 Kevin Path Apt. 025,Augusta,GA,30076
114557,Cook,Christy,Ethan,3673 Peter Turnpike Suite 835,Augusta,GA,30376
