UID,PIN,Last Name,First Name,Middle Name,Street Address,City,State,Zip
100000,6411,Richard,Katherine,Robert,764 Howard Forge Apt. 421,Augusta,GA,31267
100390,763,Lloyd,Vanessa,Amanda,1157 Michael Island,Augusta,GA,31252
100524,6734,Bowman,James,Angela,408 Christopher Ville Suite 097,Augusta,GA,31696
100996,7908,Dillon,John,Mark,93328 Davis Island,Augusta,GA,31793
100997,8368,Romero,Sarah,Daniel,185 Tamara Rapids Suite 719,Augusta,GA,31635
101070,2389,Cruz,Barbara,Kelly,09471 Erika Curve,Augusta,GA,31796
101071,4204,Hernandez,Benjamin,Christopher,848 Melissa Springs Suite 947,Augusta,GA,31009
101072,5181,Keller,Wendy,Sabrina,59179 Bruce Gardens Apt. 413,Augusta,GA,30762
101073,5509,Norton,Marvin,Lisa,30989 Anthony Roads,Augusta,GA,30387
101074,5896,Obrien,Barbara,Peter,09032 Timothy Stream Apt. 086,Augusta,GA,31271
101298,3450,Garcia,Jordan,Jeffrey,6208 Williams Courts Suite 345,Augusta,GA,31853
101794,7353,Dennis,Mary,Samantha,302 Matthew Glen,Augusta,GA,30241
102239,1120,Carlson,Scott,Gregory,698 Banks Loaf Suite 280,Augusta,GA,30938
102240,1628,Harmon,Matthew,Brandon,37594 Garza Roads Apt. 466,Augusta,GA,31698
102610,118,Curtis,Aaron,James,33769 Johnson Well Suite 027,Augusta,GA,30131
102925,5558,Green,Eric,Allison,900 Nguyen Villages Suite 063,Augusta,GA,31124
103051,1131,Key,Cynthia,Christopher,66503 Jennifer Alley,Augusta,GA,31685
103052,4009,Lowe,Cheryl,James,4217 Burton Brooks,Augusta,GA,30563
103053,8996,Sloan,Lauren,Darrell,85124 Bobby Ford Suite 855,Augusta,GA,31922
103054,1418,Bradley,Melissa,Meghan,765 Jared Radial Suite 022,Augusta,GA,30556
103219,1886,Cook,Kristine,Jennifer,004 Edward Prairie Suite 568,Augusta,GA,30266
103375,2144,Carter,Timothy,John,2814 Houston Hills,Augusta,GA,30850
103657,8952,Rodriguez,Ann,Timothy,1717 Johnson Isle Apt. 296,Augusta,GA,31651
103763,7390,Villegas,Danielle,Cameron,30601 Hawkins Highway,Augusta,GA,30919
103811,5294,Mora,Kristina,Jennifer,1534 Ryan Knolls,Augusta,GA,30236
103812,4856,Brown,Michelle,Jacqueline,317 Scott Row Apt. 392,Augusta,GA,30215
103813,3159,Gonzalez,Nicholas,Amy,97296 Rich Park,Augusta,GA,31392
103831,7907,Stark,Marcus,Vernon,389 Alec Squares Suite 508,Augusta,GA,30304
103832,2233,Baxter,Carrie,Eric,471 Zachary Canyon Apt. 320,Augusta,GA,30616
103833,733,Smith,Megan,Mark,75868 Audrey Springs,Augusta,GA,31627
103834,8957,Trujillo,Katherine,Vicki,48967 Lawson Fort Apt. 024,Augusta,GA,31039
104185,8694,Hudson,Marvin,Trevor,6660 Danielle Crossroad Apt. 450,Augusta,GA,31929
104186,3625,Johnson,Robert,Travis,256 Cheryl Lights,Augusta,GA,30940
104646,9597,Williams,Thomas,Edward,925 Isabel Run,Augusta,GA,30710
104788,8171,Lee,Krista,Kimberly,97951 Kramer Crossroad,Augusta,GA,31963
105128,1449,Buck,Lauren,Sabrina,306 Watson Field,Augusta,GA,30933
105129,8069,Kelly,Crystal,Sue,4089 Jerry Trail,Augusta,GA,31679
105431,3219,Wilkerson,Courtney,Wayne,412 Snow Manors Apt. 161,Augusta,GA,30204
105432,4540,Perry,Eric,Stephanie,6075 Miller Cliffs Apt. 505,Augusta,GA,30713
105433,6195,Thompson,Maria,Jerry,92303 Julie Hill Suite 093,Augusta,GA,31760
105434,5548,Thomas,Shawn,Thomas,03557 Phillips Wells Suite 291,Augusta,GA,30211
105435,1748,Ferguson,Kyle,Nicholas,35833 Kelly Manor,Augusta,GA,31359
105436,3684,Williams,David,Andrew,126 Pierce Streets,Augusta,GA,31898
105437,537,Thomas,Robert,Dana,75806 Smith Stream,Augusta,GA,31846
105438,9536,Flores,James,Kelly,21418 Laura Mission Suite 266,Augusta,GA,30358
105501,1599,Wright,Shawn,Sharon,7173 Smith Square,Augusta,GA,30920
105502,696,Montgomery,Alan,Kenneth,926 Davis Parks Apt. 864,Augusta,GA,31295
105503,3288,Riggs,David,Nicole,46896 Garcia Glen,Augusta,GA,30725
105504,2129,Campbell,Karina,Regina,14485 Alyssa Gateway,Augusta,GA,31825
105505,1100,Mora,Frank,Robert,8298 Amanda Loop Suite 447,Augusta,GA,30762
105506,9016,Carroll,Devin,David,6972 Gomez Mountains,Augusta,GA,31521
105507,4358,Perry,Thomas,Heather,0742 Williams Road Apt. 057,Augusta,GA,30801
