UID,PIN,Last Name,First Name,Middle Name,Street Address,City,State,Zip
100000,964,Richard,Katherine,Robert,764 Howard Forge Apt. 421,Augusta,GA,31267
100199,141,Lloyd,Vanessa,Amanda,1157 Michael Island,Augusta,GA,31252
100333,514,Bowman,James,Angela,408 Christopher Ville Suite 097,Augusta,GA,31696
100805,588,Dillon,John,Mark,93328 Davis Island,Augusta,GA,31793
100806,616,Romero,Sarah,Daniel,185 Tamara Rapids Suite 719,Augusta,GA,31635
100879,243,Cruz,Barbara,Kelly,09471 Erika Curve,Augusta,GA,31796
100880,733,Hernandez,Benjamin,Christopher,848 Melissa Springs Suite 947,Augusta,GA,31009
101291,645,Keller,Wendy,Sabrina,59179 Bruce Gardens Apt. 413,Augusta,GA,30762
101292,417,Norton,Marvin,Lisa,30989 Anthony Roads,Augusta,GA,30387
101293,970,Obrien,Barbara,Peter,09032 Timothy Stream Apt. 086,Augusta,GA,31271
101645,583,Garcia,Jordan,Jeffrey,6208 Williams Courts Suite 345,Augusta,GA,31853
101646,462,Dennis,Mary,Samantha,302 Matthew Glen,Augusta,GA,30241
101870,725,Carlson,Scott,Gregory,698 Banks Loaf Suite 280,Augusta,GA,30938
101871,665,Harmon,Matthew,Brandon,37594 Garza Roads Apt. 466,Augusta,GA,31698
102117,986,Curtis,Aaron,James,33769 Johnson Well Suite 027,Augusta,GA,30131
102385,163,Green,Eric,Allison,900 Nguyen Villages Suite 063,Augusta,GA,31124
102386,195,Key,Cynthia,Christopher,66503 Jennifer Alley,Augusta,GA,31685
102756,827,Lowe,Cheryl,James,4217 Burton Brooks,Augusta,GA,30563
102757,726,Sloan,Lauren,Darrell,85124 Bobby Ford Suite 855,Augusta,GA,31922
103011,349,Bradley,Melissa,Meghan,765 Jared Radial Suite 022,Augusta,GA,30556
103386,820,Cook,Kristine,Jennifer,004 Edward Prairie Suite 568,Augusta,GA,30266
103387,295,Carter,Timothy,John,2814 Houston Hills,Augusta,GA,30850
103388,344,Rodriguez,Ann,Timothy,1717 Johnson Isle Apt. 296,Augusta,GA,31651
103389,922,Villegas,Danielle,Cameron,30601 Hawkins Highway,Augusta,GA,30919
103669,193,Mora,Kristina,Jennifer,1534 Ryan Knolls,Augusta,GA,30236
103712,996,Brown,Michelle,Jacqueline,317 Scott Row Apt. 392,Augusta,GA,30215
103974,211,Gonzalez,Nicholas,Amy,97296 Rich Park,Augusta,GA,31392
104130,823,Stark,Marcus,Vernon,389 Alec Squares Suite 508,Augusta,GA,30304
104195,934,Baxter,Carrie,Eric,471 Zachary Canyon Apt. 320,Augusta,GA,30616
104196,918,Smith,Megan,Mark,75868 Audrey Springs,Augusta,GA,31627
104506,555,Trujillo,Katherine,Vicki,48967 Lawson Fort Apt. 024,Augusta,GA,31039
104554,424,Hudson,Marvin,Trevor,6660 Danielle Crossroad Apt. 450,Augusta,GA,31929
104555,397,Johnson,Robert,Travis,256 Cheryl Lights,Augusta,GA,30940
104556,941,Williams,Thomas,Edward,925 Isabel Run,Augusta,GA,30710
104557,727,Lee,Krista,Kimberly,97951 Kramer Crossroad,Augusta,GA,31963
104895,587,Buck,Lauren,Sabrina,306 Watson Field,Augusta,GA,30933
104896,795,Kelly,Crystal,Sue,4089 Jerry Trail,Augusta,GA,31679
104897,997,Wilkerson,Courtney,Wayne,412 Snow Manors Apt. 161,Augusta,GA,30204
104898,962,Perry,Eric,Stephanie,6075 Miller Cliffs Apt. 505,Augusta,GA,30713
104941,957,Thompson,Maria,Jerry,92303 Julie Hill Suite 093,Augusta,GA,31760
105304,634,Thomas,Shawn,Thomas,03557 Phillips Wells Suite 291,Augusta,GA,30211
105305,969,Ferguson,Kyle,Nicholas,35833 Kelly Manor,Augusta,GA,31359
105417,693,Williams,David,Andrew,126 Pierce Streets,Augusta,GA,31898
105559,604,Thomas,Robert,Dana,75806 Smith Stream,Augusta,GA,31846
105899,184,Flores,James,Kelly,21418 Laura Mission Suite 266,Augusta,GA,30358
105900,598,Wright,Shawn,Sharon,7173 Smith Square,Augusta,GA,30920
106202,965,Montgomery,Alan,Kenneth,926 Davis Parks Apt. 864,Augusta,GA,31295
106203,116,Riggs,David,Nicole,46896 Garcia Glen,Augusta,GA,30725
106579,219,Campbell,Karina,Regina,14485 Alyssa Gateway,Augusta,GA,31825
106580,480,Mora,Frank,Robert,8298 Amanda Loop Suite 447,Augusta,GA,30762
106581,440,Carroll,Devin,David,6972 Gomez Mountains,Augusta,GA,31521
106582,203,Perry,Thomas,Heather,0742 Williams Road Apt. 057,Augusta,GA,30801
106583,975,Oneal,Alejandro,Alison,160 Williams River,Augusta,GA,30008
106584,146,Key,Morgan,Holly,94316 Moran Lights,Augusta,GA,30345
106585,127,Rivera,Deborah,Grace,2852 Renee Mills,Augusta,GA,30716
106586,720,Clarke,Paul,Lindsay,337 Brenda Causeway Suite 031,Augusta,GA,31784
106587,500,Lopez,Brian,Danielle,94918 Wise Knoll,Augusta,GA,30843
106635,953,Ellis,Crystal,Zachary,774 Lewis Grove Apt. 002,Augusta,GA,30717
106636,720,Smith,Diamond,Donald,396 Shawn Junction Apt. 915,Augusta,GA,30662
106637,289,Herrera,Patricia,Jonathan,51385 Mary Glen,Augusta,GA,31378
106638,590,Daniel,Kevin,Zachary,7530 Villa Cliffs Apt. 777,Augusta,GA,30098
106639,795,Stark,Robert,Tristan,11312 Henson Forest Suite 916,Augusta,GA,31145
106652,735,Fischer,Maria,Benjamin,73245 Vang Coves,Augusta,GA,31141
106705,171,Lam,Chelsea,Kristina,8978 Nelson Brook Apt. 912,Augusta,GA,31501
106706,762,Perry,Jeffery,Nichole,886 David Rue,Augusta,GA,30559
106862,546,Wilson,Jo,Michael,31845 Nathaniel Neck Suite 922,Augusta,GA,31659
106863,615,Smith,William,Michael,62281 Kathy Tunnel,Augusta,GA,31875
106864,710,Hampton,Ashley,Heather,23659 Cristina Coves,Augusta,GA,31262
106917,304,Flowers,Alicia,Michael,0382 Lamb Street Suite 851,Augusta,GA,30531
107052,849,Taylor,Richard,James,6030 Barber Gateway Suite 734,Augusta,GA,30705
107053,814,Powers,Kevin,Michael,250 Burton Burg,Augusta,GA,30495
107054,885,Williams,Jeremiah,Desiree,56237 Thomas Inlet,Augusta,GA,30363
107055,965,Banks,Jessica,Kristen,0648 Malone Port Apt. 662,Augusta,GA,30007
107139,642,Mason,Christy,Ebony,53230 Julia Villages,Augusta,GA,31401
107140,711,Hoffman,Jennifer,Ronald,729 Johnny Valley,Augusta,GA,31512
107613,781,Oconnor,Anthony,Sarah,1542 Young Knolls,Augusta,GA,30333
107614,582,Moss,Richard,Joseph,0484 Madden Trail Suite 076,Augusta,GA,31478
107964,682,Wilson,Michael,Brett,049 Cooley Track Apt. 885,Augusta,GA,30791
108413,764,Good,Teresa,Jason,98522 Mathis Viaduct Apt. 909,Augusta,GA,30320
108597,957,Farley,Michael,Connie,6962 Kristina Port Apt. 725,Augusta,GA,31904
108935,257,Smith,Jennifer,Renee,931 Ramirez Village Apt. 821,Augusta,GA,31350
108936,568,Fowler,Bethany,Shelly,4440 Osborne Viaduct Suite 488,Augusta,GA,31136
108937,443,Stewart,Matthew,Janice,08296 Marshall Camp Suite 930,Augusta,GA,30742
108938,657,Rice,Shelly,Erin,703 Joshua Trace Suite 197,Augusta,GA,30485
108939,345,Manning,Shannon,William,27166 King Throughway,Augusta,GA,31585
109331,460,Kelly,Mark,Kurt,43666 Terry View Apt. 975,Augusta,GA,31700
109645,789,Carroll,Anne,Joshua,7820 Ashlee Key,Augusta,GA,30740
109646,832,Smith,James,Daniel,50562 Russell Divide Apt. 648,Augusta,GA,30123
109806,866,Martin,Patricia,Renee,808 Herring Key,Augusta,GA,31639
109807,101,Willis,Christopher,Anita,45448 Lutz Drives Suite 820,Augusta,GA,31296
109808,815,Richards,Darlene,Arthur,37937 Jenna Shoal Apt. 780,Augusta,GA,31113
109809,345,Miller,Zachary,Aaron,69597 Bass Passage,Augusta,GA,30742
109925,487,Archer,Michelle,David,22059 Bradley Rue Apt. 460,Augusta,GA,31230
110290,132,Saunders,Jennifer,Michael,0759 Chambers Port,Augusta,GA,31739
110497,890,Lara,Robert,Anthony,61511 Michael Fall Suite 905,Augusta,GA,30935
110498,269,Gibbs,Julie,Heather,08640 Mary Common Suite 517,Augusta,GA,31983
110499,365,Johnson,Regina,Connie,06528 Ethan Tunnel Apt. 395,Augusta,GA,31937
